EQUIPAMIENTO;TRANSPORTE;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL
2 Pistas de Baloncesto  Acceso libre.;Metro: El Capricho (linea 5).;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3560735dead1110VgnVCM1000000b205a0aRCRD;BALANDRO;CALLE;V;1;;;;;MADRID;MADRID;28042;1;ALAMEDA DE OSUNA;21;BARAJAS;449924;4478011;40.451.251.451.000.800;-35.905.626.839.548.300;;;
2 Pistas de baloncesto  Acceso libre.;Metro: Alameda de Osuna (linea 5).;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7aea0d17980e1110VgnVCM1000000b205a0aRCRD;GALEON;CALLE;V;6;;;;;MADRID;MADRID;28042;1;ALAMEDA DE OSUNA;21;BARAJAS;450323;4478527;4.045.591.483.433.640;-3.585.897.770.294.800;;;
2 Pistas de baloncesto  Acceso libre.;Renfe: Entrevias (lineas C2, C7 y C8).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea338ad3672c2110VgnVCM1000000b205a0aRCRD;IMAGEN;CALLE;V;23;;;;;MADRID;MADRID;28018;2;SAN DIEGO;13;PUENTE DE VALLECAS;443324;4470523;4.038.336.275.152.150;-3.667.713.277.656.220;;;
2 Pistas de baloncesto  Acceso libre.;Metro: Vinateros (linea 9).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e99bf30a37391110VgnVCM2000000c205a0aRCRD;MORATALAZ;AVENIDA;V;58;;;;;MADRID;MADRID;28030;5;FONTARRON;14;MORATALAZ;444547;4472980;4.040.559.580.261.860;-36.535.143.113.137.600;;;
2 Pistas de baloncesto  Acceso libre.;Consulta los siguientes enlaces.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=490c606e96145110VgnVCM1000000b205a0aRCRD;VICENTE QUESADA;CALLE;V;4;;;;PARQUE DE SAN ISIDRO;MADRID;MADRID;28019;3;SAN ISIDRO;11;CARABANCHEL;438036;4472069;4.039.692.701.825.190;-37.301.518.140.186.300;;;
2 Pistas de baloncesto  Acceso libre.;Metro: Colombia (lineas 8 y 9).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1dfddf1554291110VgnVCM1000000b205a0aRCRD;PUERTO RICO;CALLE;V;54;;;;C/V GUATEMALA;MADRID;MADRID;28016;5;NUEVA ESPAÑA;5;CHAMARTIN;442838;4478936;4.045.912.717.792.000;-36.742.066.744.010.800;;;
2 Pistas de Baloncesto  Acceso libre.;Metro: Barajas (linea 8).;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=379c8edc1914c910VgnVCM200000f921e388RCRD;ANIBAL GONZALEZ;GLORIETA;V;;;;;;MADRID;MADRID;28042;1;ALAMEDA DE OSUNA;21;BARAJAS;449179;4478356;4.048.146.551.632.610;-36.058.572.551.547.600;;;
2 Pistas de baloncesto 1 Circuito de bicicletas  Acceso libre.;Consulta los siguientes enlaces.;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6fecafe6d20e1110VgnVCM1000000b205a0aRCRD;POBLADOS;AVENIDA;V;169;;;;PARQUE PRADOLONGO;MADRID;MADRID;28041;7;PRADOLONGO;12;USERA;439998;4469285;4.037.198.635.690.730;-37.067.765.807.244.200;;;
2 Pistas de baloncesto 1 Circuito de vida 1 Pista polideportiva 1 Zona de calistenia  Acceso libre.;Metro: Hospital Doce de Octubre (linea 3).;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=909a2414d35e1110VgnVCM1000000b205a0aRCRD;PINSAPO;CALLE;V;3;;;;;MADRID;MADRID;28041;2;ORCASUR;12;USERA;440927;4468850;4.036.813.407.300.100;-369.579.530.482.948;;;
2 Pistas de baloncesto 1 Pista de futbol sala  Acceso libre.;Consulta los siguientes enlaces.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82f65e9248c91110VgnVCM1000000b205a0aRCRD;DAROCA;AVENIDA;V;95;;;;;MADRID;MADRID;28017;2;PUEBLO NUEVO;15;CIUDAD LINEAL;445479;4475138;40.425.090.271.008.600;-36.427.216.652.412.800;;;
2 pistas de baloncesto 1 pista de futbol sala  Acceso libre.;Consulta los siguientes enlaces.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5790dbec67222110VgnVCM1000000b205a0aRCRD;CRUCES;CAMINO;V;4;;;;PARQUE DE LAS CRUCES;MADRID;MADRID;28044;6;BUENAVISTA;11;CARABANCHEL;435883;4469672;40.375.279;-3.756.142;;;
2 Pistas de baloncesto 1 Pista de patinaje  Acceso libre.;Renfe: Puente Alcocer (linea C5).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e1e00f058a61110VgnVCM1000000b205a0aRCRD;PALOMARES;CALLE;V;34;;;;;MADRID;MADRID;28021;1;VILLAVERDE ALTO C.H.;17;VILLAVERDE;439520;4466514;4.034.699.107.075.540;-37.121.368.916.451.200;;;
2 Pistas de baloncesto 1 Pista de patinaje  Acceso libre.;Metro: Villaverde Bajo Cruce (linea 3).  Renfe: Puente Alcocer (linea C5).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f346588fd3471110VgnVCM1000000b205a0aRCRD;ANOETA;CALLE;V;16;;;;;MADRID;MADRID;28041;5;ANGELES;17;VILLAVERDE;440865;4467151;4.035.282.504.994.270;-36.963.617.882.465.600;;;
2 Pistas de baloncesto 1 Pista de voleibol  Acceso libre.;Renfe: El Pozo (lineas C2, C7 y C8).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2444df453adb2110VgnVCM1000000b205a0aRCRD;NOVECENTO;CALLE;V;6;;;;;MADRID;MADRID;28018;3;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;444510;4469859;4.037.746.079.137.420;-3.653.695.563.861.610;;;
2 Pistas de baloncesto 1 Zona de calistenia 3 Pistas de tenis de mesa  Acceso libre.;Consulta los siguientes enlaces.;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=00be193f97b78810VgnVCM2000001f4a900aRCRD;POBLADOS;AVENIDA;V;165;;;;PARQUE PRADOLONGO;MADRID;MADRID;28041;7;PRADOLONGO;12;USERA;439720;4469386;4.037.288.274.499.530;-37.100.591.797.765.900;;;
2 Pistas de baloncesto 2 Pistas de bolos y petanca  1 Pista de patinaje 2 Pistas polideportivas 4 Pistas de tenis de mesa  Acceso libre.;Consulta los siguientes enlaces.;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d3362a9470e1110VgnVCM1000000b205a0aRCRD;COOPERATIVAS;RONDA;V;6;;;;;MADRID;MADRID;28041;1;ORCASITAS;12;USERA;439919;4468772;403.673.502.443.602;-37.076.605.178.679.000;;;
2 Pistas de baloncesto 2 Pistas de bolos y petanca 1 Pista de patinaje 1 Pista polideportiva 1 Pista polideportiva cubierta 3 Pistas de tenis de mesa  Acceso libre.;Consulta los siguientes enlaces.;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb9f22cad8d91110VgnVCM2000000c205a0aRCRD;DIRECCION;PASEO;V;299;;;;;MADRID;MADRID;28029;5;VALDEACEDERAS;6;TETUAN;440268;4480183;404.701.829.077.932;-37.046.136.733.997.400;;;
2 Pistas de baloncesto 2 Pistas de futbol sala  1 Pista polideportiva 1 Pista de voleibol  Acceso libre.;Consulta los siguientes enlaces.;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c51553332b794110VgnVCM1000000b205a0aRCRD;CAPITAN BLANCO ARGIBAY;CALLE;V;173;;;;;MADRID;MADRID;28029;5;VALDEACEDERAS;6;TETUAN;439740;4480162;4.046.995.417.209.450;-3.710.836.991.177.550;;;
2 Pistas de baloncesto 2 Pistas de futbol sala  Acceso libre.;Metro: Las Rosas (linea 2).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce2dad35d7ae1110VgnVCM1000000b205a0aRCRD;HELSINKI;CALLE;V;6;;;;;MADRID;MADRID;28022;5;ROSAS;20;SAN BLAS-CANILLEJAS;448853;4475201;4.042.587.119.856.990;-3.602.954.200.233.560;;;
2 Pistas de baloncesto 2 Pistas de futbol sala 1 Rocodromo 1 Pista de tenis de mesa  Acceso libre.;Consulta los siguientes enlaces.;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=21dbde6b48db2110VgnVCM1000000b205a0aRCRD;SIERRA DE CUERDA LARGA;CALLE;V;41;;;;;MADRID;MADRID;28038;6;NUMANCIA;13;PUENTE DE VALLECAS;444272;4472321;403.996.321.152.037;-36.567.011.261.303.400;;;
2 Pistas de baloncesto 2 Pistas de futbol sala 4 Pistas de petanca 3 Pistas de chito  Acceso libre.;Consulta los siguientes enlaces.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=009349ad8bcc5110VgnVCM1000000b205a0aRCRD;PLATA Y CASTAÑAR;PASEO;V;5;;;;;MADRID;MADRID;28021;;SAN ANDRES;17;VILLAVERDE;439073;4466734;4.034.893.806.864.990;-3.717.423.564.562.950;;;
2 Pistas de baloncesto 2 Pistas de patinaje (bajo el puente de Doctor Esquerdo) Tenis de mesa  Acceso libre.;Metro: Pacifico (linea 1 y 6).  Bicicletas:    Servicio Bicimad, para consultar la estacion mas cercana, acceda al mapa de geolocalizacion de las estaciones;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4405ad5b81301110VgnVCM1000000b205a0aRCRD;COCHERAS;CALLE;V;1;;;;;MADRID;MADRID;28007;1;PACIFICO;3;RETIRO;442610;4472449;40.400.673.376.887.400;-3.676.298.173.141.190;;;
2 Pistas de baloncesto 2 Tenis de mesa  Acceso libre.;Metro: Canillas (linea 4).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5ce8dec5c4961110VgnVCM1000000b205a0aRCRD;"LAS PEDRO&amp;Ntilde;ERAS";CALLE;V;42;;;;CUBIERTA P.A.R.;MADRID;MADRID;28043;3;CANILLAS;16;HORTALEZA;446546;4479816;40.467.306.798.706.000;-36.305.372.141.187.600;;;
2 Pistas de baloncesto 3x3  Acceso libre.;Metro: Parque de Santa Maria (linea 4), Hortaleza (linea 4).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3553da4a6551110VgnVCM1000000b205a0aRCRD;ESTACION DE HORTALEZA;CARRETERA;V;7;;;;;MADRID;MADRID;28033;5;APOSTOL SANTIAGO;16;HORTALEZA;444469;4480798;4.047.600.256.074.510;-36.551.340.067.790.500;;;
2 pistas de baloncesto 3X3 1 bloque de escalada 1 campo de futbol 7 de cesped artificial 1 campo de minipitch de cesped artificial 2 pistas de pana 1 pista polideportiva   Acceso controlado.;Renfe: Villaverde Bajo (linea C3 y C4).;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7869ce073379b410VgnVCM2000000c205a0aRCRD;ESTEFANITA;CALLE;V;3;;;;;MADRID;MADRID;28021;3;BUTARQUE;17;VILLAVERDE;442619;4466547;4.034.750.435.286.860;-36.756.560.101.604.400;;;
